<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,03/09/18,10:01,107900.0000000,108060.0000000,107900.0000000,108030.0000000,3
SPFB.RTS-12.18,1,03/09/18,10:02,107960.0000000,107960.0000000,107960.0000000,107960.0000000,5
SPFB.RTS-12.18,1,03/09/18,10:04,108000.0000000,108000.0000000,108000.0000000,108000.0000000,8
SPFB.RTS-12.18,1,03/09/18,10:05,108000.0000000,108000.0000000,108000.0000000,108000.0000000,1
SPFB.RTS-12.18,1,03/09/18,10:08,108080.0000000,108080.0000000,108080.0000000,108080.0000000,1
SPFB.RTS-12.18,1,03/09/18,10:09,108200.0000000,108250.0000000,108200.0000000,108250.0000000,15
SPFB.RTS-12.18,1,03/09/18,10:11,108250.0000000,108250.0000000,108250.0000000,108250.0000000,2
SPFB.RTS-12.18,1,03/09/18,10:12,108250.0000000,108250.0000000,108250.0000000,108250.0000000,8
SPFB.RTS-12.18,1,03/09/18,10:14,108200.0000000,108200.0000000,108200.0000000,108200.0000000,3
SPFB.RTS-12.18,1,03/09/18,10:15,108290.0000000,108290.0000000,108290.0000000,108290.0000000,1
SPFB.RTS-12.18,1,03/09/18,10:20,108050.0000000,108050.0000000,108030.0000000,108030.0000000,16
SPFB.RTS-12.18,1,03/09/18,10:21,108000.0000000,108000.0000000,107980.0000000,107980.0000000,6
SPFB.RTS-12.18,1,03/09/18,10:22,107980.0000000,107980.0000000,107980.0000000,107980.0000000,1
SPFB.RTS-12.18,1,03/09/18,10:27,108000.0000000,108000.0000000,107900.0000000,107900.0000000,3
SPFB.RTS-12.18,1,03/09/18,10:29,107800.0000000,107800.0000000,107720.0000000,107720.0000000,20
SPFB.RTS-12.18,1,03/09/18,10:31,107750.0000000,107820.0000000,107720.0000000,107820.0000000,14
SPFB.RTS-12.18,1,03/09/18,10:32,107910.0000000,107910.0000000,107910.0000000,107910.0000000,5
SPFB.RTS-12.18,1,03/09/18,10:33,108010.0000000,108010.0000000,108010.0000000,108010.0000000,92
SPFB.RTS-12.18,1,03/09/18,10:34,108010.0000000,108010.0000000,107950.0000000,107950.0000000,53
SPFB.RTS-12.18,1,03/09/18,10:37,108000.0000000,108000.0000000,108000.0000000,108000.0000000,20
SPFB.RTS-12.18,1,03/09/18,10:39,108050.0000000,108050.0000000,108050.0000000,108050.0000000,2
SPFB.RTS-12.18,1,03/09/18,10:42,108030.0000000,108030.0000000,108030.0000000,108030.0000000,8
SPFB.RTS-12.18,1,03/09/18,10:49,108030.0000000,108050.0000000,108030.0000000,108050.0000000,3
SPFB.RTS-12.18,1,03/09/18,11:02,108030.0000000,108030.0000000,108030.0000000,108030.0000000,3
SPFB.RTS-12.18,1,03/09/18,11:03,108030.0000000,108030.0000000,108030.0000000,108030.0000000,3
SPFB.RTS-12.18,1,03/09/18,11:04,108220.0000000,108220.0000000,108220.0000000,108220.0000000,1
SPFB.RTS-12.18,1,03/09/18,11:05,108140.0000000,108140.0000000,108140.0000000,108140.0000000,3
SPFB.RTS-12.18,1,03/09/18,11:07,108110.0000000,108210.0000000,108110.0000000,108210.0000000,4
SPFB.RTS-12.18,1,03/09/18,11:10,108220.0000000,108250.0000000,108220.0000000,108250.0000000,7
SPFB.RTS-12.18,1,03/09/18,11:23,107950.0000000,108030.0000000,107950.0000000,108030.0000000,28
SPFB.RTS-12.18,1,03/09/18,11:25,107910.0000000,107910.0000000,107910.0000000,107910.0000000,7
SPFB.RTS-12.18,1,03/09/18,11:26,107780.0000000,107810.0000000,107780.0000000,107810.0000000,11
SPFB.RTS-12.18,1,03/09/18,11:50,107840.0000000,107880.0000000,107840.0000000,107880.0000000,2
SPFB.RTS-12.18,1,03/09/18,11:58,107740.0000000,107740.0000000,107660.0000000,107660.0000000,60
SPFB.RTS-12.18,1,03/09/18,11:59,107650.0000000,107650.0000000,107650.0000000,107650.0000000,1
SPFB.RTS-12.18,1,03/09/18,12:00,107680.0000000,107680.0000000,107680.0000000,107680.0000000,1
SPFB.RTS-12.18,1,03/09/18,12:03,107710.0000000,107710.0000000,107710.0000000,107710.0000000,1
SPFB.RTS-12.18,1,03/09/18,12:06,107630.0000000,107640.0000000,107530.0000000,107530.0000000,7
SPFB.RTS-12.18,1,03/09/18,12:08,107500.0000000,107500.0000000,107450.0000000,107450.0000000,3
SPFB.RTS-12.18,1,03/09/18,12:11,107680.0000000,107680.0000000,107680.0000000,107680.0000000,1
SPFB.RTS-12.18,1,03/09/18,12:13,107770.0000000,107770.0000000,107770.0000000,107770.0000000,2
SPFB.RTS-12.18,1,03/09/18,12:31,107700.0000000,107700.0000000,107680.0000000,107680.0000000,6
SPFB.RTS-12.18,1,03/09/18,12:37,107680.0000000,107680.0000000,107680.0000000,107680.0000000,2
SPFB.RTS-12.18,1,03/09/18,12:41,107680.0000000,107680.0000000,107680.0000000,107680.0000000,3
SPFB.RTS-12.18,1,03/09/18,12:42,107650.0000000,107650.0000000,107650.0000000,107650.0000000,1
SPFB.RTS-12.18,1,03/09/18,12:43,107530.0000000,107530.0000000,107500.0000000,107500.0000000,2
SPFB.RTS-12.18,1,03/09/18,12:45,107500.0000000,107500.0000000,107500.0000000,107500.0000000,3
SPFB.RTS-12.18,1,03/09/18,12:51,107530.0000000,107540.0000000,107530.0000000,107540.0000000,7
SPFB.RTS-12.18,1,03/09/18,12:52,107520.0000000,107520.0000000,107520.0000000,107520.0000000,1
SPFB.RTS-12.18,1,03/09/18,12:53,107470.0000000,107470.0000000,107450.0000000,107450.0000000,9
SPFB.RTS-12.18,1,03/09/18,12:57,107510.0000000,107510.0000000,107510.0000000,107510.0000000,3
SPFB.RTS-12.18,1,03/09/18,12:58,107510.0000000,107510.0000000,107510.0000000,107510.0000000,1
SPFB.RTS-12.18,1,03/09/18,13:00,107500.0000000,107500.0000000,107500.0000000,107500.0000000,1
SPFB.RTS-12.18,1,03/09/18,13:01,107500.0000000,107500.0000000,107500.0000000,107500.0000000,11
SPFB.RTS-12.18,1,03/09/18,13:03,107400.0000000,107400.0000000,107380.0000000,107380.0000000,17
SPFB.RTS-12.18,1,03/09/18,13:08,107370.0000000,107370.0000000,107370.0000000,107370.0000000,1
SPFB.RTS-12.18,1,03/09/18,13:13,107530.0000000,107530.0000000,107530.0000000,107530.0000000,2
SPFB.RTS-12.18,1,03/09/18,13:14,107610.0000000,107610.0000000,107610.0000000,107610.0000000,1
SPFB.RTS-12.18,1,03/09/18,13:16,107580.0000000,107580.0000000,107580.0000000,107580.0000000,3
SPFB.RTS-12.18,1,03/09/18,13:19,107580.0000000,107610.0000000,107580.0000000,107610.0000000,2
SPFB.RTS-12.18,1,03/09/18,13:38,107430.0000000,107430.0000000,107430.0000000,107430.0000000,1
SPFB.RTS-12.18,1,03/09/18,13:40,107470.0000000,107470.0000000,107470.0000000,107470.0000000,5
SPFB.RTS-12.18,1,03/09/18,13:42,107470.0000000,107470.0000000,107470.0000000,107470.0000000,1
SPFB.RTS-12.18,1,03/09/18,13:49,107640.0000000,107640.0000000,107640.0000000,107640.0000000,1
SPFB.RTS-12.18,1,03/09/18,13:57,107640.0000000,107640.0000000,107640.0000000,107640.0000000,1
SPFB.RTS-12.18,1,03/09/18,13:58,107640.0000000,107640.0000000,107590.0000000,107590.0000000,8
SPFB.RTS-12.18,1,03/09/18,14:06,107770.0000000,107770.0000000,107770.0000000,107770.0000000,3
SPFB.RTS-12.18,1,03/09/18,14:07,107660.0000000,107660.0000000,107650.0000000,107650.0000000,3
SPFB.RTS-12.18,1,03/09/18,14:09,107660.0000000,107660.0000000,107660.0000000,107660.0000000,2
SPFB.RTS-12.18,1,03/09/18,14:15,107590.0000000,107590.0000000,107590.0000000,107590.0000000,1
SPFB.RTS-12.18,1,03/09/18,14:16,107640.0000000,107650.0000000,107640.0000000,107650.0000000,2
SPFB.RTS-12.18,1,03/09/18,14:17,107590.0000000,107590.0000000,107590.0000000,107590.0000000,1
SPFB.RTS-12.18,1,03/09/18,14:18,107540.0000000,107540.0000000,107540.0000000,107540.0000000,5
SPFB.RTS-12.18,1,03/09/18,14:19,107640.0000000,107650.0000000,107640.0000000,107650.0000000,2
SPFB.RTS-12.18,1,03/09/18,14:23,107640.0000000,107640.0000000,107640.0000000,107640.0000000,1
SPFB.RTS-12.18,1,03/09/18,14:26,107550.0000000,107550.0000000,107550.0000000,107550.0000000,2
SPFB.RTS-12.18,1,03/09/18,14:28,107600.0000000,107670.0000000,107600.0000000,107670.0000000,3
SPFB.RTS-12.18,1,03/09/18,14:30,107570.0000000,107570.0000000,107570.0000000,107570.0000000,4
SPFB.RTS-12.18,1,03/09/18,14:31,107570.0000000,107570.0000000,107570.0000000,107570.0000000,1
SPFB.RTS-12.18,1,03/09/18,14:36,107550.0000000,107550.0000000,107550.0000000,107550.0000000,9
SPFB.RTS-12.18,1,03/09/18,14:39,107650.0000000,107650.0000000,107650.0000000,107650.0000000,1
SPFB.RTS-12.18,1,03/09/18,14:45,107500.0000000,107500.0000000,107500.0000000,107500.0000000,7
SPFB.RTS-12.18,1,03/09/18,14:46,107480.0000000,107480.0000000,107480.0000000,107480.0000000,4
SPFB.RTS-12.18,1,03/09/18,14:54,107680.0000000,107680.0000000,107680.0000000,107680.0000000,4
SPFB.RTS-12.18,1,03/09/18,14:55,107530.0000000,107530.0000000,107530.0000000,107530.0000000,2
SPFB.RTS-12.18,1,03/09/18,14:56,107530.0000000,107530.0000000,107530.0000000,107530.0000000,2
SPFB.RTS-12.18,1,03/09/18,15:05,107630.0000000,107640.0000000,107630.0000000,107640.0000000,4
SPFB.RTS-12.18,1,03/09/18,15:19,107620.0000000,107620.0000000,107620.0000000,107620.0000000,3
SPFB.RTS-12.18,1,03/09/18,15:20,107650.0000000,107650.0000000,107650.0000000,107650.0000000,3
SPFB.RTS-12.18,1,03/09/18,15:41,107630.0000000,107630.0000000,107630.0000000,107630.0000000,3
SPFB.RTS-12.18,1,03/09/18,15:45,107720.0000000,107720.0000000,107720.0000000,107720.0000000,3
SPFB.RTS-12.18,1,03/09/18,15:46,107700.0000000,107700.0000000,107700.0000000,107700.0000000,1
SPFB.RTS-12.18,1,03/09/18,15:51,107630.0000000,107630.0000000,107630.0000000,107630.0000000,1
SPFB.RTS-12.18,1,03/09/18,15:58,107650.0000000,107650.0000000,107650.0000000,107650.0000000,1
SPFB.RTS-12.18,1,03/09/18,16:23,107660.0000000,107660.0000000,107660.0000000,107660.0000000,1
SPFB.RTS-12.18,1,03/09/18,16:31,107790.0000000,107790.0000000,107790.0000000,107790.0000000,1
SPFB.RTS-12.18,1,03/09/18,16:36,107750.0000000,107750.0000000,107750.0000000,107750.0000000,3
SPFB.RTS-12.18,1,03/09/18,16:44,107750.0000000,107750.0000000,107750.0000000,107750.0000000,1
SPFB.RTS-12.18,1,03/09/18,16:55,107710.0000000,107710.0000000,107710.0000000,107710.0000000,11
SPFB.RTS-12.18,1,03/09/18,16:56,107720.0000000,107720.0000000,107720.0000000,107720.0000000,2
SPFB.RTS-12.18,1,03/09/18,17:05,107660.0000000,107660.0000000,107600.0000000,107600.0000000,2
SPFB.RTS-12.18,1,03/09/18,17:13,107560.0000000,107560.0000000,107560.0000000,107560.0000000,1
SPFB.RTS-12.18,1,03/09/18,17:16,107500.0000000,107500.0000000,107500.0000000,107500.0000000,1
SPFB.RTS-12.18,1,03/09/18,17:17,107470.0000000,107470.0000000,107470.0000000,107470.0000000,1
SPFB.RTS-12.18,1,03/09/18,17:32,107580.0000000,107600.0000000,107580.0000000,107600.0000000,3
SPFB.RTS-12.18,1,03/09/18,17:36,107580.0000000,107580.0000000,107580.0000000,107580.0000000,1
SPFB.RTS-12.18,1,03/09/18,17:37,107450.0000000,107450.0000000,107380.0000000,107380.0000000,3
SPFB.RTS-12.18,1,03/09/18,17:39,107330.0000000,107390.0000000,107300.0000000,107300.0000000,10
SPFB.RTS-12.18,1,03/09/18,17:40,107340.0000000,107400.0000000,107320.0000000,107400.0000000,3
SPFB.RTS-12.18,1,03/09/18,17:41,107310.0000000,107310.0000000,107300.0000000,107300.0000000,2
SPFB.RTS-12.18,1,03/09/18,17:43,107360.0000000,107360.0000000,107200.0000000,107200.0000000,69
SPFB.RTS-12.18,1,03/09/18,17:44,107240.0000000,107240.0000000,107240.0000000,107240.0000000,1
SPFB.RTS-12.18,1,03/09/18,17:46,107350.0000000,107350.0000000,107350.0000000,107350.0000000,1
SPFB.RTS-12.18,1,03/09/18,17:48,107390.0000000,107390.0000000,107390.0000000,107390.0000000,1
SPFB.RTS-12.18,1,03/09/18,17:53,107430.0000000,107470.0000000,107430.0000000,107460.0000000,4
SPFB.RTS-12.18,1,03/09/18,17:56,107310.0000000,107310.0000000,107310.0000000,107310.0000000,1
SPFB.RTS-12.18,1,03/09/18,17:57,107260.0000000,107260.0000000,107260.0000000,107260.0000000,1
SPFB.RTS-12.18,1,03/09/18,17:58,107280.0000000,107280.0000000,107280.0000000,107280.0000000,4
