<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;12/09/2018;10:01;1.049.100.000.000;1.050.800.000.000;1.047.500.000.000;1.048.400.000.000;174;SPFB.RTS-12.18;1;12/10/2018;10:01;1.130.300.000.000;1.140.600.000.000;1.130.300.000.000;1.138.200.000.000;14203;SPFB.RTS-12.18;1;12/11/2018;10:01;1.111.900.000.000;1.123.600.000.000;1.111.900.000.000;1.123.300.000.000;8000;SPFB.RTS-12.18;1;12/12/2018;10:01;1.128.000.000.000;1.134.800.000.000;1.128.000.000.000;1.132.200.000.000;5004
SPFB.RTS-12.18;1;12/09/2018;10:02;1.047.500.000.000;1.048.000.000.000;1.047.500.000.000;1.047.600.000.000;24;SPFB.RTS-12.18;1;12/10/2018;10:02;1.138.300.000.000;1.140.300.000.000;1.138.300.000.000;1.139.900.000.000;4050;SPFB.RTS-12.18;1;12/11/2018;10:02;1.123.200.000.000;1.125.200.000.000;1.122.900.000.000;1.123.000.000.000;5322;SPFB.RTS-12.18;1;12/12/2018;10:02;1.132.200.000.000;1.133.500.000.000;1.132.000.000.000;1.133.000.000.000;2400
SPFB.RTS-12.18;1;12/09/2018;10:03;1.048.400.000.000;1.049.300.000.000;1.048.400.000.000;1.048.900.000.000;42;SPFB.RTS-12.18;1;12/10/2018;10:03;1.139.900.000.000;1.140.400.000.000;1.139.000.000.000;1.139.100.000.000;3102;SPFB.RTS-12.18;1;12/11/2018;10:03;1.123.000.000.000;1.124.500.000.000;1.122.900.000.000;1.123.100.000.000;2527;SPFB.RTS-12.18;1;12/12/2018;10:03;1.133.000.000.000;1.134.800.000.000;1.132.200.000.000;1.132.400.000.000;3110
SPFB.RTS-12.18;1;12/09/2018;10:04;1.048.600.000.000;1.048.700.000.000;1.048.000.000.000;1.048.000.000.000;33;SPFB.RTS-12.18;1;12/10/2018;10:04;1.139.200.000.000;1.139.800.000.000;1.138.400.000.000;1.138.800.000.000;2419;SPFB.RTS-12.18;1;12/11/2018;10:04;1.123.000.000.000;1.123.900.000.000;1.122.900.000.000;1.123.900.000.000;1500;SPFB.RTS-12.18;1;12/12/2018;10:04;1.132.300.000.000;1.132.900.000.000;1.131.600.000.000;1.132.100.000.000;2158
SPFB.RTS-12.18;1;12/09/2018;10:05;1.048.300.000.000;1.048.600.000.000;1.048.200.000.000;1.048.600.000.000;33;SPFB.RTS-12.18;1;12/10/2018;10:05;1.138.800.000.000;1.139.000.000.000;1.137.900.000.000;1.138.500.000.000;2134;SPFB.RTS-12.18;1;12/11/2018;10:05;1.124.000.000.000;1.124.500.000.000;1.123.800.000.000;1.124.200.000.000;1040;SPFB.RTS-12.18;1;12/12/2018;10:05;1.132.000.000.000;1.132.900.000.000;1.131.700.000.000;1.132.600.000.000;1331
SPFB.RTS-12.18;1;12/09/2018;10:06;1.048.800.000.000;1.048.800.000.000;1.047.600.000.000;1.047.600.000.000;19;SPFB.RTS-12.18;1;12/10/2018;10:06;1.138.600.000.000;1.139.400.000.000;1.138.400.000.000;1.138.900.000.000;1950;SPFB.RTS-12.18;1;12/11/2018;10:06;1.124.300.000.000;1.124.600.000.000;1.123.700.000.000;1.124.500.000.000;1426;SPFB.RTS-12.18;1;12/12/2018;10:06;1.132.700.000.000;1.132.900.000.000;1.131.700.000.000;1.132.500.000.000;1570
SPFB.RTS-12.18;1;12/09/2018;10:07;1.047.600.000.000;1.048.000.000.000;1.047.600.000.000;1.047.900.000.000;14;SPFB.RTS-12.18;1;12/10/2018;10:07;1.138.900.000.000;1.139.700.000.000;1.138.400.000.000;1.138.700.000.000;2548;SPFB.RTS-12.18;1;12/11/2018;10:07;1.124.500.000.000;1.126.000.000.000;1.124.100.000.000;1.125.900.000.000;2953;SPFB.RTS-12.18;1;12/12/2018;10:07;1.132.600.000.000;1.132.700.000.000;1.132.000.000.000;1.132.200.000.000;989
SPFB.RTS-12.18;1;12/09/2018;10:08;1.048.300.000.000;1.048.900.000.000;1.048.300.000.000;1.048.900.000.000;57;SPFB.RTS-12.18;1;12/10/2018;10:08;1.138.700.000.000;1.139.600.000.000;1.138.600.000.000;1.139.500.000.000;1090;SPFB.RTS-12.18;1;12/11/2018;10:08;1.125.900.000.000;1.126.200.000.000;1.125.200.000.000;1.125.300.000.000;1426;SPFB.RTS-12.18;1;12/12/2018;10:08;1.132.400.000.000;1.132.800.000.000;1.132.100.000.000;1.132.300.000.000;787
SPFB.RTS-12.18;1;12/09/2018;10:09;1.048.500.000.000;1.048.500.000.000;1.048.500.000.000;1.048.500.000.000;1;SPFB.RTS-12.18;1;12/10/2018;10:09;1.139.400.000.000;1.139.400.000.000;1.138.800.000.000;1.138.900.000.000;700;SPFB.RTS-12.18;1;12/11/2018;10:09;1.125.400.000.000;1.125.900.000.000;1.124.900.000.000;1.125.000.000.000;971;SPFB.RTS-12.18;1;12/12/2018;10:09;1.132.300.000.000;1.132.300.000.000;1.131.200.000.000;1.131.500.000.000;1577
SPFB.RTS-12.18;1;12/09/2018;10:10;1.048.800.000.000;1.048.900.000.000;1.048.000.000.000;1.048.200.000.000;119;SPFB.RTS-12.18;1;12/10/2018;10:10;1.139.000.000.000;1.139.000.000.000;1.137.900.000.000;1.138.900.000.000;1398;SPFB.RTS-12.18;1;12/11/2018;10:10;1.125.000.000.000;1.125.300.000.000;1.123.900.000.000;1.124.700.000.000;1636;SPFB.RTS-12.18;1;12/12/2018;10:10;1.131.600.000.000;1.132.800.000.000;1.131.400.000.000;1.132.200.000.000;2408
SPFB.RTS-12.18;1;12/09/2018;10:11;1.048.700.000.000;1.048.800.000.000;1.048.700.000.000;1.048.800.000.000;5;SPFB.RTS-12.18;1;12/10/2018;10:11;1.139.000.000.000;1.139.200.000.000;1.138.200.000.000;1.138.600.000.000;729;SPFB.RTS-12.18;1;12/11/2018;10:11;1.124.800.000.000;1.125.000.000.000;1.124.100.000.000;1.124.900.000.000;1202;SPFB.RTS-12.18;1;12/12/2018;10:11;1.132.300.000.000;1.132.500.000.000;1.132.100.000.000;1.132.500.000.000;713
SPFB.RTS-12.18;1;12/09/2018;10:12;1.048.900.000.000;1.048.900.000.000;1.048.900.000.000;1.048.900.000.000;141;SPFB.RTS-12.18;1;12/10/2018;10:12;1.138.500.000.000;1.139.200.000.000;1.138.500.000.000;1.138.900.000.000;957;SPFB.RTS-12.18;1;12/11/2018;10:12;1.124.900.000.000;1.125.200.000.000;1.124.400.000.000;1.124.700.000.000;920;SPFB.RTS-12.18;1;12/12/2018;10:12;1.132.500.000.000;1.132.600.000.000;1.132.000.000.000;1.132.200.000.000;454
SPFB.RTS-12.18;1;12/09/2018;10:13;1.048.800.000.000;1.049.000.000.000;1.048.800.000.000;1.049.000.000.000;12;SPFB.RTS-12.18;1;12/10/2018;10:13;1.138.900.000.000;1.139.200.000.000;1.138.500.000.000;1.138.900.000.000;691;SPFB.RTS-12.18;1;12/11/2018;10:13;1.124.700.000.000;1.125.400.000.000;1.124.600.000.000;1.125.400.000.000;444;SPFB.RTS-12.18;1;12/12/2018;10:13;1.132.100.000.000;1.132.300.000.000;1.131.900.000.000;1.132.000.000.000;452
SPFB.RTS-12.18;1;12/09/2018;10:14;1.049.500.000.000;1.050.500.000.000;1.049.500.000.000;1.050.300.000.000;69;SPFB.RTS-12.18;1;12/10/2018;10:14;1.139.000.000.000;1.139.300.000.000;1.138.500.000.000;1.138.900.000.000;572;SPFB.RTS-12.18;1;12/11/2018;10:14;1.125.300.000.000;1.126.100.000.000;1.125.300.000.000;1.126.000.000.000;1326;SPFB.RTS-12.18;1;12/12/2018;10:14;1.131.900.000.000;1.132.800.000.000;1.131.900.000.000;1.132.700.000.000;808
SPFB.RTS-12.18;1;12/09/2018;10:15;1.050.300.000.000;1.050.300.000.000;1.050.300.000.000;1.050.300.000.000;3;SPFB.RTS-12.18;1;12/10/2018;10:15;1.139.000.000.000;1.139.600.000.000;1.138.900.000.000;1.139.500.000.000;879;SPFB.RTS-12.18;1;12/11/2018;10:15;1.126.100.000.000;1.126.800.000.000;1.125.700.000.000;1.125.800.000.000;1309;SPFB.RTS-12.18;1;12/12/2018;10:15;1.132.700.000.000;1.132.800.000.000;1.132.300.000.000;1.132.500.000.000;454
SPFB.RTS-12.18;1;12/09/2018;10:16;1.050.500.000.000;1.051.400.000.000;1.050.500.000.000;1.051.200.000.000;26;SPFB.RTS-12.18;1;12/10/2018;10:16;1.139.500.000.000;1.140.000.000.000;1.139.000.000.000;1.139.500.000.000;1068;SPFB.RTS-12.18;1;12/11/2018;10:16;1.125.800.000.000;1.126.400.000.000;1.125.200.000.000;1.126.100.000.000;1390;SPFB.RTS-12.18;1;12/12/2018;10:16;1.132.700.000.000;1.132.700.000.000;1.132.200.000.000;1.132.200.000.000;221
SPFB.RTS-12.18;1;12/09/2018;10:17;1.051.000.000.000;1.052.600.000.000;1.051.000.000.000;1.052.600.000.000;42;SPFB.RTS-12.18;1;12/10/2018;10:17;1.139.500.000.000;1.139.600.000.000;1.138.800.000.000;1.138.800.000.000;547;SPFB.RTS-12.18;1;12/11/2018;10:17;1.126.200.000.000;1.126.800.000.000;1.125.800.000.000;1.126.500.000.000;1376;SPFB.RTS-12.18;1;12/12/2018;10:17;1.132.100.000.000;1.132.100.000.000;1.130.500.000.000;1.131.000.000.000;1708
SPFB.RTS-12.18;1;12/09/2018;10:18;1.052.800.000.000;1.052.900.000.000;1.052.300.000.000;1.052.900.000.000;72;SPFB.RTS-12.18;1;12/10/2018;10:18;1.138.900.000.000;1.138.900.000.000;1.137.300.000.000;1.137.700.000.000;1881;SPFB.RTS-12.18;1;12/11/2018;10:18;1.126.500.000.000;1.127.300.000.000;1.126.200.000.000;1.126.700.000.000;1336;SPFB.RTS-12.18;1;12/12/2018;10:18;1.131.000.000.000;1.131.000.000.000;1.130.300.000.000;1.130.400.000.000;1196
